poly_id,elevation_zone,mean,std,year
0,2000,0.1545186960072626,0.0015138699487847033,2025
1,2000,0.10736214012959971,0.004963631641463301,2025
2,1500,0.1250224315573746,0.006862025218877533,2025
3,1500,0.13650513494619054,0.005835074429004679,2025
4,2000,0.13849386101254652,0.01392990145148072,2025
5,1500,0.14760197698496474,0.0037679032642400205,2025
6,1500,0.13266445330603105,0.006174745236889399,2025
7,2000,0.0994273596758502,0.003795529353896549,2025
8,1500,0.11713946460768662,0.004309149635933677,2025
9,1500,0.11840878261833133,0.006103170205237275,2025
10,1500,0.10053436301228563,0.0011019887707510792,2025
11,2000,0.09911681784080213,0.001618040490495146,2025
12,2000,0.1040542493057308,0.00509397369184356,2025
13,1500,0.1026033653153478,0.007204533451550282,2025
14,1500,0.10286640410866497,0.0014425303613502718,2025
15,1500,0.0985509957892646,0.0023606289362397372,2025
16,1500,0.10556447441649518,0.0005667669428592315,2025
17,2000,0.13150566160771074,0.006727957344834362,2025
18,1500,0.10243512065046777,0.0021717063236659745,2025
19,2000,0.13422317750004842,0.015997599720880083,2025
20,2000,0.16310591763395998,0.005627284030104971,2025
21,1500,0.1524296493557045,0.003684558115884124,2025
22,1500,0.1298058661642484,0.014514026925363022,2025
23,1500,0.1271326206077424,0.009664972523482477,2025
24,1500,0.10362250802295674,0.0049907041501698265,2025
25,2000,0.10753302096976146,0.004448623189292972,2025
26,1500,0.11644111501491305,0.007951702939442714,2025
27,2000,0.12277846424402063,0.017678234466607518,2025
28,1500,0.10589111774601151,0.0015267812796012096,2025
29,1500,0.10299193812813444,0.0017131219107468963,2025
30,1500,0.13714404468712207,0.008774995570897726,2025
31,1500,0.1015832109192718,0.0023835903863131686,2025
32,2000,0.09202132801506027,0.009234614543561063,2025
33,1500,0.1168679831412898,0.0017324409726150944,2025
34,1500,0.13953141226224405,0.002669639639850219,2025
35,1500,0.10129193255722749,0.003715508785709632,2025
36,2000,0.09858262678481618,0.005740887522484438,2025
37,1500,0.10823554546398016,0.002598380056531948,2025
38,2000,0.11584748074078956,0.00716887001347963,2025
39,2000,0.11554134714549574,0.0007646675077671652,2025
40,1500,0.1012405618347671,0.0018032435920226045,2025
41,2000,0.13792059127890754,0.004173199964852599,2025
42,2000,0.14036123603041445,0.009862001246867097,2025
43,2000,0.15830348436987335,0.0088686118992638,2025
44,2000,0.10206504623326099,0.001607340900736663,2025
45,1500,0.10034076024473843,0.0007495422004517398,2025
46,2000,0.10291502811205236,0.003088680204857483,2025
47,2000,0.145908822429913,0.00600202274865014,2025
48,1500,0.10106941424934501,0.0027789300443133986,2025
49,2000,0.10015614884598306,0.0010238662180390226,2025
50,1500,0.10192958867155977,0.0019742337010732885,2025
51,2000,0.12812764167600502,0.012154893336219306,2025
52,2000,0.15121755463196707,0.0076939690631500635,2025
53,1500,0.15290916375760483,0.0001116854282116192,2025
54,2000,0.09975093395396577,0.0016325281471936063,2025
55,1500,0.10088154659972835,0.0009478175784113661,2025
56,1500,0.13443549672509958,0.004144770722176075,2025
57,1500,0.14515592047610892,0.004544480566098888,2025
58,1500,0.1358355198585813,0.009364052951848965,2025
59,2000,0.14516389675346916,0.011326838918633739,2025
60,1500,0.13250099365834625,0.008282152603381034,2025
61,1500,0.10840952336902913,0.00286751937115311,2025
62,2000,0.14356530643806642,0.011192833009529526,2025
63,2000,0.12648676767344444,0.010405531141599481,2025
64,1500,0.10313249392714736,0.002903662554463415,2025
65,2000,0.11593320833472076,0.011909757903057852,2025
66,1500,0.10509317120437374,0.0026692053603886135,2025
67,2000,0.10038206123953708,0.0008770867197074614,2025
68,1500,0.1045826420629703,0.0011371310436145178,2025
69,2000,0.11705433617945346,0.014339846368189461,2025
70,1500,0.10367243210314935,0.0014331896317952466,2025
71,2000,0.11723002696034852,0.008758847123094077,2025
72,1500,0.14151927310093138,0.004634351009576368,2025
73,1500,0.12371935349767202,0.011918111261647178,2025
74,1500,0.10461814608865085,0.0026009600438885137,2025
75,1500,0.1076685061717904,0.004229667427463467,2025
76,1500,0.14262374316305793,0.006255172247547878,2025
77,2000,0.12111755344910036,0.008471713891349172,2025
78,1500,0.10775860286186094,0.0019054765520238508,2025
79,2000,0.11071149683757701,0.0037434324580787348,2025
80,1500,0.17821712724636246,0.011147425966134869,2025
81,1500,0.12778028528056296,0.020675964832767072,2025
82,2000,0.1080463169989366,0.010650484012211296,2025
83,1500,0.11232453165340807,0.006097634578580023,2025
84,2000,0.10260762274974072,0.001275105674245053,2025
85,1500,0.12544754591721974,0.014338303055644595,2025
86,2000,0.10613017201382781,0.002081893945001034,2025
87,1500,0.10906883199613102,0.011719629204667894,2025
88,1500,0.08731825055443898,0.000819577349138179,2025
89,1500,0.09415325320955101,0.00340937582805284,2025
90,2000,0.11437897524847554,0.0032991994526564566,2025
91,2000,0.10243991162840435,0.0022022780602079925,2025
92,1500,0.1214311336800063,0.011535968180605032,2025
93,1500,0.09920312929422959,0.0008653823520213561,2025
94,2000,0.10196784397658719,0.0026191776197634093,2025
